destination,state,region,lat,lon,vibe,emotion_tags,landscape,best_season,activities,nearby_attractions,description
Pahari Mandir,Jharkhand,East,23.34316,85.3094,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Humid climate,Year-round,"Praying, Meditation, Sightseeing","Regional Art Gallery, Street Food Alleys, Traditional Bazaars","Pahari Mandir is a renowned temple located in jharkhand (East). Experiencing a humid climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.812 out of 5."
Mahabodhi Temple,Bihar,East,25.0961,85.3131,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Humid climate,Year-round,"Praying, Meditation, Sightseeing","Old City Quarters, Spiritual Centers, Local Heritage Museum","Mahabodhi Temple is a renowned temple located in bihar (East). Experiencing a humid climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.9 out of 5."
Sanjay Gandhi Biological Park,Bihar,East,25.41667,85.16667,wildlife nature family-friendly,wildlife nature family-friendly,Zoo in Humid climate,Year-round,"Wildlife viewing, Walking, Photography","Spiritual Centers, Botanical Gardens, Old City Quarters","Sanjay Gandhi Biological Park is a renowned zoo located in bihar (East). Experiencing a humid climate, it offers a wildlife nature family-friendly atmosphere. It is well-suited for a low budget and holds a popularity score of 2.78 out of 5."
Takhat Shri Harimandir Ji Patna Sahib,Bihar,East,25.41667,85.16667,interesting scenic engaging,interesting scenic engaging,Gurudwara in Humid climate,Year-round,"Sightseeing, Walking, Photography","Local Heritage Museum, Historical Monuments, Street Food Alleys","Takhat Shri Harimandir Ji Patna Sahib is a renowned gurudwara located in bihar (East). Experiencing a humid climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.92 out of 5."
Budhha Smriti Park,Bihar,East,25.41667,85.16667,interesting scenic engaging,interesting scenic engaging,Park in Humid climate,Year-round,"Sightseeing, Walking, Photography","Handicraft Markets, Botanical Gardens, Spiritual Centers","Budhha Smriti Park is a renowned park located in bihar (East). Experiencing a humid climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.764 out of 5."
Kingdom of Dreams,Haryana,North,29.0588,76.0856,interesting scenic engaging,interesting scenic engaging,Entertainment in Cold climate,October-March,"Sightseeing, Walking, Photography","Local Heritage Museum, Historical Monuments, Regional Art Gallery","Kingdom of Dreams is a renowned entertainment located in haryana (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a high budget and holds a popularity score of 2.76 out of 5."
Ambience Mall,Haryana,North,29.0588,76.0856,modern bustling commercial,modern bustling commercial,Mall in Cold climate,October-March,"Shopping, Dining, Entertainment","Spiritual Centers, City Central Park, Regional Art Gallery","Ambience Mall is a renowned mall located in haryana (North). Experiencing a cold climate, it offers a modern bustling commercial atmosphere. It is well-suited for a low budget and holds a popularity score of 3.24 out of 5."
DLF CyberHub,Haryana,North,29.0588,76.0856,interesting scenic engaging,interesting scenic engaging,Commercial Complex in Cold climate,October-March,"Sightseeing, Walking, Photography","Botanical Gardens, Handicraft Markets, Traditional Bazaars","DLF CyberHub is a renowned commercial complex located in haryana (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.104 out of 5."
Gurudwara Bangla Sahib,Delhi,North,28.63576,77.22445,interesting scenic engaging,interesting scenic engaging,Gurudwara in Cold climate,October-March,"Sightseeing, Walking, Photography","Connaught Place, Purana Qila, Safdarjung Tomb","Gurudwara Bangla Sahib is a renowned gurudwara located in delhi (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.3 out of 5."
Kedarnath,Uttarakhand,North,30.0668,79.0193,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Cold climate,October-March,"Praying, Meditation, Sightseeing","Valley of Flowers Trails, Laxman Jhula, Har Ki Pauri","Kedarnath is a renowned temple located in uttarakhand (North). Experiencing a cold climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.68 out of 5."
DLF Mall of India,Uttar Pradesh,North,28.58,77.33,modern bustling commercial,modern bustling commercial,Mall in Cold climate,October-March,"Shopping, Dining, Entertainment","Sarnath Stupa, Taj Mahal, Triveni Sangam","DLF Mall of India is a renowned mall located in uttar pradesh (North). Experiencing a cold climate, it offers a modern bustling commercial atmosphere. It is well-suited for a low budget and holds a popularity score of 3.36 out of 5."
The Grand Venice Mall,Uttar Pradesh,North,28.49615,77.53601,modern bustling commercial,modern bustling commercial,Mall in Cold climate,October-March,"Shopping, Dining, Entertainment","Dashashwamedh Ghat, Agra Fort, Mehtab Bagh","The Grand Venice Mall is a renowned mall located in uttar pradesh (North). Experiencing a cold climate, it offers a modern bustling commercial atmosphere. It is well-suited for a low budget and holds a popularity score of 2.7 out of 5."
Wonderla Amusement Park,Karnataka,South,12.97194,77.59369,thrilling fun adventurous,thrilling fun adventurous,Amusement Park in Tropical climate,Year-round,"Rides, Water games, Dining","Bangalore Palace, Chamundi Hill, Gokarna Beaches","Wonderla Amusement Park is a renowned amusement park located in karnataka (South). Experiencing a tropical climate, it offers a thrilling fun adventurous atmosphere. It is well-suited for a medium budget and holds a popularity score of 3.08 out of 5."
Nandankanan Zoological Park,Odisha,East,20.27241,85.83385,wildlife nature family-friendly,wildlife nature family-friendly,Zoo in Humid climate,Year-round,"Wildlife viewing, Walking, Photography","City Central Park, Botanical Gardens, Regional Art Gallery","Nandankanan Zoological Park is a renowned zoo located in odisha (East). Experiencing a humid climate, it offers a wildlife nature family-friendly atmosphere. It is well-suited for a low budget and holds a popularity score of 2.9640000000000004 out of 5."
Orion Mall,Karnataka,South,12.97194,77.59369,modern bustling commercial,modern bustling commercial,Mall in Tropical climate,Year-round,"Shopping, Dining, Entertainment","Brindavan Gardens, Jog Falls Viewpoint, Bannerghatta Park","Orion Mall is a renowned mall located in karnataka (South). Experiencing a tropical climate, it offers a modern bustling commercial atmosphere. It is well-suited for a low budget and holds a popularity score of 3.42 out of 5."
Inorbit Mall Cyberabad,Telangana,South,17.38405,78.45636,modern bustling commercial,modern bustling commercial,Mall in Tropical climate,Year-round,"Shopping, Dining, Entertainment","Old City Quarters, Botanical Gardens, Spiritual Centers","Inorbit Mall Cyberabad is a renowned mall located in telangana (South). Experiencing a tropical climate, it offers a modern bustling commercial atmosphere. It is well-suited for a low budget and holds a popularity score of 3.18 out of 5."
Jama Masjid,Delhi,North,28.63576,77.22445,spiritual serene historic,spiritual serene historic,Mosque in Cold climate,October-March,"Praying, Sightseeing, Photography","Dilli Haat, Chandni Chowk, Safdarjung Tomb","Jama Masjid is a renowned mosque located in delhi (North). Experiencing a cold climate, it offers a spiritual serene historic atmosphere. It is well-suited for a low budget and holds a popularity score of 2.896 out of 5."
Buddh International Circuit,Uttar Pradesh,North,28.49615,77.53601,interesting scenic engaging,interesting scenic engaging,Race Track in Cold climate,October-March,"Sightseeing, Walking, Photography","Bara Imambara, Sarnath Stupa, Fatehpur Sikri","Buddh International Circuit is a renowned race track located in uttar pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a high budget and holds a popularity score of 5.720000000000001 out of 5."
Phoenix Palassio,Uttar Pradesh,North,26.83928,80.92313,modern bustling commercial,modern bustling commercial,Mall in Cold climate,October-March,"Shopping, Dining, Entertainment","Agra Fort, Tomb of Akbar, Dashashwamedh Ghat","Phoenix Palassio is a renowned mall located in uttar pradesh (North). Experiencing a cold climate, it offers a modern bustling commercial atmosphere. It is well-suited for a low budget and holds a popularity score of 2.9 out of 5."
Rail Museum,Delhi,North,28.63576,77.22445,educational historic quiet,educational historic quiet,Museum in Cold climate,October-March,"Sightseeing, Walking, Photography","Khan Market, Connaught Place, Qutub Minar","Rail Museum is a renowned museum located in delhi (North). Experiencing a cold climate, it offers a educational historic quiet atmosphere. It is well-suited for a low budget and holds a popularity score of 2.736 out of 5."
Living Root Bridge,Meghalaya,Northeast,25.30089,91.69619,interesting scenic engaging,interesting scenic engaging,Natural Feature in Moderate climate,Year-round,"Sightseeing, Walking, Photography","Regional Art Gallery, Botanical Gardens, City Central Park","Living Root Bridge is a renowned natural feature located in meghalaya (Northeast). Experiencing a moderate climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.784 out of 5."
Akshardham,Gujarat,West,23.21667,72.68333,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Warm climate,Year-round,"Praying, Meditation, Sightseeing","Rann of Kutch Salt Flats, Laxmi Vilas Palace, Sun Temple Modhera","Akshardham is a renowned temple located in gujarat (West). Experiencing a warm climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.832 out of 5."
Agra Fort,Uttar Pradesh,North,27.18333,78.01667,historic majestic grand,historic majestic grand,Fort in Cold climate,October-March,"Heritage walk, Photography, Exploring","Dashashwamedh Ghat, Triveni Sangam, Bara Imambara","Agra Fort is a renowned fort located in uttar pradesh (North). Experiencing a cold climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 3.22 out of 5."
Madhya Pradesh Tribal Museum,Madhya Pradesh,Central,23.25469,77.40289,educational historic quiet,educational historic quiet,Museum in Warm climate,Year-round,"Sightseeing, Walking, Photography","Spiritual Centers, Old City Quarters, Botanical Gardens","Madhya Pradesh Tribal Museum is a renowned museum located in madhya pradesh (Central). Experiencing a warm climate, it offers a educational historic quiet atmosphere. It is well-suited for a low budget and holds a popularity score of 2.88 out of 5."
Albert Hall Museum,Rajasthan,West,27.0,76.0,educational historic quiet,educational historic quiet,Museum in Warm climate,Year-round,"Sightseeing, Walking, Photography","Umaid Bhawan Palace, Jag Mandir, City Palace","Albert Hall Museum is a renowned museum located in rajasthan (West). Experiencing a warm climate, it offers a educational historic quiet atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.952 out of 5."
